objectid,title,date,description,subject,location,latitude,longitude,source,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text
clw_001,Clearwater Build,1968,"Designed by naval architect Cyrus Hamlin, the Clearwater was built at the Harvey Gamage shipyard. The keel laying occurred in 1968.",wooden boats; Pete Seeger; the Clearwater; sailing,"South Bristol, Maine",43.86305235,-69.56038449,unknown,Image; Stillimage,image/jpeg,english,image,/objects/image_ribs.jpg,objects/small//image_ribs_sm.jpg,objects/small//image_ribs_sm.jpg,
clw_002,Boat work,1968,The builders followed Hamlin's precise specifications to create an authentic Hudson River sloop. ,wooden boats; the Clearwater,"South Bristol, Maine",43.86305235,-69.56038449,unknown,Image; Stillimage,image/jpeg,english,image,/objects/image_build.jpg,objects/small//image_build_sm.jpg,/objects/thumbs/image_build_th.jpg,
clw_003,Pete Seeger Performance,1968,"In celebration of the boat's construction, Pete Seeger visited Harvey Gamage shipyard in 1968 and performed for a small crowd. ",Pete Seeger; environment; the Clearwater; New England,"South Bristol, Maine",43.86305235,-69.56038449,unknown,Image; Stillimage,image/jpeg,english,image,/objects/image_performance.jpg,objects/small//image_performance_sm.jpg,/objects/thumbs/image_performance_th.jpg,
clw_004,Clearwater Launch,1969,"On May 17, 1969, the Clearwater launched from South Bristol, Maine. ",Pete Seeger; environment; the Clearwater; New England,"South Bristol, Maine",43.86305235,-69.56038449,unknown,Image; Stillimage,image/jpeg,english,image,/objects/image_launch.jpg,objects/small//image_launch_sm.jpg,/objects/thumbs/image_launch_th.jpg,
clw_005,Maiden Voyage,1969,"The crew sailed along the Atlantic Coast, performing concerts at towns along the waterfront. ",Pete Seeger; the Clearwater; maiden voyage; ,North Atlantic Coast,42.92098543,-70.74306699,AW Collection,Image; Stillimage,image/jpeg,english,image,/objects/image_maidenvoyage.jpg,objects/small//image_maidenvoyage_sm.jpg,/objects/thumbs/image_maidenvoyage_th.jpg,
clw_006,Clearwater Sail,1970,"In April 1970, the Clearwater sailed past a junkyard in the Hudson Valley. That month, the boat went to Washington, DC, for the first Earth Day",Pete Seeger; environment; Maine,"Hudson Valley, NY",41.50805014,-73.99640972,Getty,Image; Stillimage,image/jpeg,english,image,/objects/image_sail.jpg,objects/small//image_sail_sm.jpg,/objects/thumbs/image_sail_th.jpg,
clw_007,Clearwater Festival,1978,"Spearheaded by Toshi Seeger, the Great Hudson River Revival was officially inaugurated in 1978. It built upon the momentum of the smaller fundraising concerts that Toshi and Pete started in the 1960s, becoming a multistage eco-friendly extravaganza. ",Toshi Seeger; environmentalism; Great Hudson River Revival; folk music ,Croton Point Park,41.18515084,-73.8977231,unknown,Image; Stillimage,image/jpeg,english,image,/objects/image_festival.jpg,/objects/small/image_festival_sm.jpg,/objects/thumbs/image_festival_th.jpg,
clw_008,Pete Seeger's Banjo,2012,"Pete Seeger's iconic banjo bears the words, ""This machine surrounds hate, and forces it to surrender."" ",Pete Seeger; banjo; folk music,Manhattanville College,41.03211742,-73.71672297,Jodie Childers and Dan Messina,image; Stillimage,image/jpeg,english,image,/objects/image_banjo.jpg,/objects/small/image_banjo_sm.jpg,/objects/thumbs/image_banjo_th.jpg,
clw_009,Quite Early Morning,2012,"In 2012, Pete Seeger performed the song Quite Early Morning at Manhattanville College. ",Pete Seeger; banjo; folk music,,41.03211742,-73.71672297,Jodie Childers and Dan Messina,,video,english,video,https://vimeo.com/79073072,/objects/small/image_banjo_sm.jpg,/objects/thumbs/image_banjo_th.jpg,
clw_010,Pete Seeger Thinking,2013,"In this image, taken at the Beacon Sloop Club, Seeger recollected his experiences traveling the country with Woody Guthrie in the 1940s. ",Pete Seeger; Woody Guthrie; Hudson River,"Beacon Sloop Club, Beacon, NY",41.50603329,-73.9851589,Jodie Childers and Dan Messina,Image; Stillimage,image/jpeg,english,image,/objects/image_petethinking.jpg,/objects/small/image_petethinking_sm.jpg,/objects/thumbs/image_petethinking_th.jpg,
clw_011,The Woody Guthrie,2013,"Built in 1978, the Woody Guthrie is a smaller version of the Clearwater that sails around the Beacon waterfront, raising awareness about local environmental concerns and offering free sails to the community. ",Woody Guthrie; Pete Seeger; Beacon Sloop Club,Beacon Waterfront,41.505653,-73.988078,Jodie Childers and Dan Messina,,image/jpeg,english,image,/objects/image_woodyguthrie.jpg,/objects/small/image_woodyguthrie_sm.jpg,/objects/thumbs/image_woodyguthrie_th.jpg,
clw_012,Boat work,2013,"In 2012, the Clearwater crew commenced a massive rebuild of the boat.",The Clearwater; boat restoration,,41.91889354,-73.9808606,Jodie Childers and Dan Messina,image; Stillimage,image/jpeg,english,image,/objects/image_boatwork.jpg,/objects/small/image_boatwork_sm.jpg,/objects/thumbs/image_boatwork_th.jpg,
clw_013,Revival,2013,"Despite a massive overhaul, the boat made back in the water for the Great Hudson River Revival. In this image, Pete Seeger performs the closing ceremony along with Joanne Shenandoah.",Pete Seeger; Joanne Shenandoah,Croton Point Park,41.18515084,-73.8977231,Jodie Childers and Dan Messina,image; Stillimage,jmage/jpeg,english,image,/objects/image_revival.jpg,/objects/small/image_revival_sm.jpg,/objects/thumbs/image_revival_th.jpg,